NYC RAW FULL DATA STATISTICS
============================

Input files:
- data/NYC_Taxi/yellow_tripdata_2015-01.csv
- data/NYC_Taxi/yellow_tripdata_2016-01.csv
- data/NYC_Taxi/yellow_tripdata_2016-02.csv
- data/NYC_Taxi/yellow_tripdata_2016-03.csv

Total rows: 47248845
Total columns: 20
Merged output: results/raw_full/nyc_raw_full_merged.csv

STT	Column	Dtype	Count	Mean	Std	Max	Min
1	VendorID	int64	47248845	1.529570490029968	0.4991248254615429	2	1
2	tpep_pickup_datetime	object	47248845	NULL	NULL	NULL	NULL
3	tpep_dropoff_datetime	object	47248845	NULL	NULL	NULL	NULL
4	passenger_count	int64	47248845	1.6670397339871483	1.3220922307333787	9	0
5	trip_distance	float64	47248845	7.5084179458778335	6487.6583395920425	19072628.8	-3390583.8
6	pickup_longitude	float64	47248845	-72.7645182845853	9.38182992791323	94.64386749267578	-161.69866943359375
7	pickup_latitude	float64	47248845	40.084704988038204	5.1685276133214355	404.7000122070313	-77.03948974609375
8	RateCodeID	object	12748986	NULL	NULL	NULL	NULL
9	store_and_fwd_flag	object	47248845	NULL	NULL	NULL	NULL
10	dropoff_longitude	float64	47248845	-72.8250112235368	9.150215403289309	85.27402496337889	-740.1666870117188
11	dropoff_latitude	float64	47248845	40.118890625916094	5.040345298485846	459.5333251953125	-77.03948974609375
12	payment_type	int64	47248845	1.352482394014076	0.49223868794940895	5	1
13	fare_amount	float64	47248845	12.392189114675714	78.61770040483962	429496.72	-957.6
14	extra	float64	47248845	0.32431795549711295	0.5158948172922757	999.99	-79.0
15	mta_tax	float64	47248845	0.49770807286400326	0.046723879829253544	89.7	-1.0
16	tip_amount	float64	47248845	1.794568086055859	574.7383884994648	3950588.8	-220.8
17	tolls_amount	float64	47248845	0.2843674354367816	1.6571843946968623	1450.09	-99.99
18	improvement_surcharge	float64	47248842	0.2952466172610114	0.03812079870172211	0.3	-0.3
19	total_amount	float64	47248845	15.59273259420416	580.1392733880587	3950611.6	-958.4
20	RatecodeID	int64	34499859	1.039149841163119	0.5564536697750917	99	1
